T,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6
217,863,873,883,893,903,913
218,864,874,884,894,904,914
219,865,875,885,895,905,915
220,866,876,886,896,906,916
221,867,877,887,897,907,917
222,868,878,888,898,908,918
223,869,879,889,899,909,919
224,870,880,890,900,910,920
225,871,881,891,901,911,921
226,872,882,892,902,912,922
227,873,883,893,903,913,923
228,874,884,894,904,914,924
229,875,885,895,905,915,925
230,876,886,896,906,916,926
231,877,887,897,907,917,927
232,878,888,898,908,918,928
233,879,889,899,909,919,929
234,880,890,900,910,920,930
235,881,891,901,911,921,931
236,882,892,902,912,922,932
237,883,893,903,913,923,933
238,884,894,904,914,924,934
239,885,895,905,915,925,935
240,886,896,906,916,926,936
241,887,897,907,917,927,937
242,888,898,908,918,928,938
243,889,899,909,919,929,939
244,890,900,910,920,930,940
245,891,901,911,921,931,941
246,892,902,912,922,932,942
247,893,903,913,923,933,943
248,894,904,914,924,934,944
249,895,905,915,925,935,945
250,896,906,916,926,936,946
251,897,907,917,927,937,947
252,898,908,918,928,938,948
253,899,909,919,929,939,949
254,900,910,920,930,940,950
255,901,911,921,931,941,951
256,902,912,922,932,942,952
257,903,913,923,933,943,953
258,904,914,924,934,944,954
259,905,915,925,935,945,955
260,906,916,926,936,946,956
261,907,917,927,937,947,957
262,908,918,928,938,948,958
263,909,919,929,939,949,959
264,910,920,930,940,950,960
265,911,921,931,941,951,961
266,912,922,932,942,952,962
267,913,923,933,943,953,963
268,914,924,934,944,954,964
269,915,925,935,945,955,965
270,916,926,936,946,956,966
271,917,927,937,947,957,967
272,918,928,938,948,958,968
273,919,929,939,949,959,969
274,920,930,940,950,960,970
275,921,931,941,951,961,971
276,922,932,942,952,962,972
277,923,933,943,953,963,973
278,924,934,944,954,964,974
279,925,935,945,955,965,975
280,926,936,946,956,966,976
281,927,937,947,957,967,977
282,928,938,948,958,968,978
283,929,939,949,959,969,979
284,930,940,950,960,970,980
285,931,941,951,961,971,981
286,932,942,952,962,972,982
287,933,943,953,963,973,983
288,934,944,954,964,974,984
289,935,945,955,965,975,985
290,936,946,956,966,976,986
291,937,947,957,967,977,987
292,938,948,958,968,978,988
293,939,949,959,969,979,989
294,940,950,960,970,980,990
295,941,951,961,971,981,991
296,942,952,962,972,982,992
297,943,953,963,973,983,993
298,944,954,964,974,984,994
299,945,955,965,975,985,995
300,946,956,966,976,986,996
301,947,957,967,977,987,997
302,948,958,968,978,988,998
303,949,959,969,979,989,999
304,950,960,970,980,990,0
305,951,961,971,981,991,1
306,952,962,972,982,992,2
307,953,963,973,983,993,3
308,954,964,974,984,994,4
309,955,965,975,985,995,5
310,956,966,976,986,996,6
311,957,967,977,987,997,7
312,958,968,978,988,998,8
313,959,969,979,989,999,9
314,960,970,980,990,0,10
315,961,971,981,991,1,11
316,962,972,982,992,2,12
317,963,973,983,993,3,13
318,964,974,984,994,4,14
319,965,975,985,995,5,15
320,966,976,986,996,6,16
321,967,977,987,997,7,17
322,968,978,988,998,8,18
323,969,979,989,999,9,19
324,970,980,990,0,10,20
325,971,981,991,1,11,21
326,972,982,992,2,12,22
327,973,983,993,3,13,23
328,974,984,994,4,14,24
329,975,985,995,5,15,25
330,976,986,996,6,16,26
331,977,987,997,7,17,27
332,978,988,998,8,18,28
333,979,989,999,9,19,29
334,980,990,0,10,20,30
335,981,991,1,11,21,31
336,982,992,2,12,22,32
337,983,993,3,13,23,33
338,984,994,4,14,24,34
339,985,995,5,15,25,35
340,986,996,6,16,26,36
341,987,997,7,17,27,37
342,988,998,8,18,28,38
343,989,999,9,19,29,39
344,990,0,10,20,30,40
345,991,1,11,21,31,41
346,992,2,12,22,32,42
347,993,3,13,23,33,43
348,994,4,14,24,34,44
349,995,5,15,25,35,45
350,996,6,16,26,36,46
351,997,7,17,27,37,47
352,998,8,18,28,38,48
353,999,9,19,29,39,49
354,0,10,20,30,40,50
355,1,11,21,31,41,51
356,2,12,22,32,42,52
357,3,13,23,33,43,53
358,4,14,24,34,44,54
359,5,15,25,35,45,55
360,6,16,26,36,46,56
361,7,17,27,37,47,57
362,8,18,28,38,48,58
363,9,19,29,39,49,59
364,10,20,30,40,50,60
365,11,21,31,41,51,61
366,12,22,32,42,52,62
367,13,23,33,43,53,63
368,14,24,34,44,54,64
369,15,25,35,45,55,65
370,16,26,36,46,56,66
371,17,27,37,47,57,67
372,18,28,38,48,58,68
373,19,29,39,49,59,69
374,20,30,40,50,60,70
375,21,31,41,51,61,71
376,22,32,42,52,62,72
377,23,33,43,53,63,73
378,24,34,44,54,64,74
379,25,35,45,55,65,75
380,26,36,46,56,66,76
381,27,37,47,57,67,77
382,28,38,48,58,68,78
383,29,39,49,59,69,79
384,30,40,50,60,70,80
385,31,41,51,61,71,81
386,32,42,52,62,72,82
387,33,43,53,63,73,83
388,34,44,54,64,74,84
389,35,45,55,65,75,85
390,36,46,56,66,76,86
391,37,47,57,67,77,87
392,38,48,58,68,78,88
393,39,49,59,69,79,89
394,40,50,60,70,80,90
395,41,51,61,71,81,91
396,42,52,62,72,82,92
397,43,53,63,73,83,93
398,44,54,64,74,84,94
399,45,55,65,75,85,95
400,46,56,66,76,86,96
401,47,57,67,77,87,97
402,48,58,68,78,88,98
403,49,59,69,79,89,99
404,50,60,70,80,90,100
405,51,61,71,81,91,101
406,52,62,72,82,92,102
407,53,63,73,83,93,103
408,54,64,74,84,94,104
409,55,65,75,85,95,105
410,56,66,76,86,96,106
411,57,67,77,87,97,107
412,58,68,78,88,98,108
413,59,69,79,89,99,109
414,60,70,80,90,100,110
415,61,71,81,91,101,111
416,62,72,82,92,102,112
417,63,73,83,93,103,113
418,64,74,84,94,104,114
419,65,75,85,95,105,115
420,66,76,86,96,106,116
421,67,77,87,97,107,117
422,68,78,88,98,108,118
423,69,79,89,99,109,119
424,70,80,90,100,110,120
425,71,81,91,101,111,121
426,72,82,92,102,112,122
427,73,83,93,103,113,123
428,74,84,94,104,114,124
429,75,85,95,105,115,125
430,76,86,96,106,116,126
431,77,87,97,107,117,127
432,78,88,98,108,118,128
433,79,89,99,109,119,129
434,80,90,100,110,120,130
435,81,91,101,111,121,131
436,82,92,102,112,122,132
437,83,93,103,113,123,133
438,84,94,104,114,124,134
439,85,95,105,115,125,135
440,86,96,106,116,126,136
441,87,97,107,117,127,137
442,88,98,108,118,128,138
443,89,99,109,119,129,139
444,90,100,110,120,130,140
445,91,101,111,121,131,141
446,92,102,112,122,132,142
447,93,103,113,123,133,143
448,94,104,114,124,134,144
449,95,105,115,125,135,145
450,96,106,116,126,136,146
451,97,107,117,127,137,147
452,98,108,118,128,138,148
453,99,109,119,129,139,149
454,100,110,120,130,140,150
455,101,111,121,131,141,151
456,102,112,122,132,142,152
457,103,113,123,133,143,153
458,104,114,124,134,144,154
459,105,115,125,135,145,155
460,106,116,126,136,146,156
461,107,117,127,137,147,157
462,108,118,128,138,148,158
463,109,119,129,139,149,159
464,110,120,130,140,150,160
465,111,121,131,141,151,161
466,112,122,132,142,152,162
467,113,123,133,143,153,163
468,114,124,134,144,154,164
469,115,125,135,145,155,165
470,116,126,136,146,156,166
471,117,127,137,147,157,167
472,118,128,138,148,158,168
473,119,129,139,149,159,169
474,120,130,140,150,160,170
475,121,131,141,151,161,171
476,122,132,142,152,162,172
477,123,133,143,153,163,173
478,124,134,144,154,164,174
479,125,135,145,155,165,175
480,126,136,146,156,166,176
481,127,137,147,157,167,177
482,128,138,148,158,168,178
483,129,139,149,159,169,179
484,130,140,150,160,170,180
485,131,141,151,161,171,181
486,132,142,152,162,172,182
487,133,143,153,163,173,183
488,134,144,154,164,174,184
489,135,145,155,165,175,185
490,136,146,156,166,176,186
491,137,147,157,167,177,187
492,138,148,158,168,178,188
493,139,149,159,169,179,189
494,140,150,160,170,180,190
495,141,151,161,171,181,191
496,142,152,162,172,182,192
497,143,153,163,173,183,193
498,144,154,164,174,184,194
499,145,155,165,175,185,195
500,146,156,166,176,186,196
501,147,157,167,177,187,197
502,148,158,168,178,188,198
503,149,159,169,179,189,199
504,150,160,170,180,190,200
505,151,161,171,181,191,201
506,152,162,172,182,192,202
507,153,163,173,183,193,203
508,154,164,174,184,194,204
509,155,165,175,185,195,205
510,156,166,176,186,196,206
511,157,167,177,187,197,207
512,158,168,178,188,198,208
513,159,169,179,189,199,209
514,160,170,180,190,200,210
515,161,171,181,191,201,211
516,162,172,182,192,202,212
517,163,173,183,193,203,213
518,164,174,184,194,204,214
519,165,175,185,195,205,215
520,166,176,186,196,206,216
521,167,177,187,197,207,217
522,168,178,188,198,208,218
523,169,179,189,199,209,219
524,170,180,190,200,210,220
525,171,181,191,201,211,221
526,172,182,192,202,212,222
527,173,183,193,203,213,223
528,174,184,194,204,214,224
529,175,185,195,205,215,225
530,176,186,196,206,216,226
531,177,187,197,207,217,227
532,178,188,198,208,218,228
533,179,189,199,209,219,229
534,180,190,200,210,220,230
535,181,191,201,211,221,231
536,182,192,202,212,222,232
537,183,193,203,213,223,233
538,184,194,204,214,224,234
539,185,195,205,215,225,235
540,186,196,206,216,226,236
541,187,197,207,217,227,237
542,188,198,208,218,228,238
543,189,199,209,219,229,239
544,190,200,210,220,230,240
545,191,201,211,221,231,241
546,192,202,212,222,232,242
547,193,203,213,223,233,243
548,194,204,214,224,234,244
549,195,205,215,225,235,245
550,196,206,216,226,236,246
551,197,207,217,227,237,247
552,198,208,218,228,238,248
553,199,209,219,229,239,249
554,200,210,220,230,240,250
555,201,211,221,231,241,251
556,202,212,222,232,242,252
557,203,213,223,233,243,253
558,204,214,224,234,244,254
559,205,215,225,235,245,255
560,206,216,226,236,246,256
561,207,217,227,237,247,257
562,208,218,228,238,248,258
563,209,219,229,239,249,259
564,210,220,230,240,250,260
565,211,221,231,241,251,261
566,212,222,232,242,252,262
567,213,223,233,243,253,263
568,214,224,234,244,254,264
569,215,225,235,245,255,265
570,216,226,236,246,256,266
571,217,227,237,247,257,267
572,218,228,238,248,258,268
573,219,229,239,249,259,269
574,220,230,240,250,260,270
575,221,231,241,251,261,271
576,222,232,242,252,262,272
577,223,233,243,253,263,273
578,224,234,244,254,264,274
579,225,235,245,255,265,275
580,226,236,246,256,266,276
581,227,237,247,257,267,277
582,228,238,248,258,268,278
583,229,239,249,259,269,279
584,230,240,250,260,270,280
585,231,241,251,261,271,281
586,232,242,252,262,272,282
587,233,243,253,263,273,283
588,234,244,254,264,274,284
589,235,245,255,265,275,285
590,236,246,256,266,276,286
591,237,247,257,267,277,287
592,238,248,258,268,278,288
593,239,249,259,269,279,289
594,240,250,260,270,280,290
595,241,251,261,271,281,291
596,242,252,262,272,282,292
597,243,253,263,273,283,293
598,244,254,264,274,284,294
599,245,255,265,275,285,295
600,246,256,266,276,286,296
601,247,257,267,277,287,297
602,248,258,268,278,288,298
603,249,259,269,279,289,299
604,250,260,270,280,290,300
605,251,261,271,281,291,301
606,252,262,272,282,292,302
607,253,263,273,283,293,303
608,254,264,274,284,294,304
609,255,265,275,285,295,305
610,256,266,276,286,296,306
611,257,267,277,287,297,307
612,258,268,278,288,298,308
613,259,269,279,289,299,309
614,260,270,280,290,300,310
615,261,271,281,291,301,311
616,262,272,282,292,302,312
617,263,273,283,293,303,313
618,264,274,284,294,304,314
619,265,275,285,295,305,315
620,266,276,286,296,306,316
621,267,277,287,297,307,317
622,268,278,288,298,308,318
623,269,279,289,299,309,319
624,270,280,290,300,310,320
625,271,281,291,301,311,321
626,272,282,292,302,312,322
627,273,283,293,303,313,323
628,274,284,294,304,314,324
629,275,285,295,305,315,325
630,276,286,296,306,316,326
631,277,287,297,307,317,327
632,278,288,298,308,318,328
633,279,289,299,309,319,329
634,280,290,300,310,320,330
635,281,291,301,311,321,331
636,282,292,302,312,322,332
637,283,293,303,313,323,333
638,284,294,304,314,324,334
639,285,295,305,315,325,335
640,286,296,306,316,326,336
641,287,297,307,317,327,337
642,288,298,308,318,328,338
643,289,299,309,319,329,339
644,290,300,310,320,330,340
645,291,301,311,321,331,341
646,292,302,312,322,332,342
647,293,303,313,323,333,343
648,294,304,314,324,334,344
649,295,305,315,325,335,345
650,296,306,316,326,336,346
651,297,307,317,327,337,347
652,298,308,318,328,338,348
653,299,309,319,329,339,349
654,300,310,320,330,340,350
655,301,311,321,331,341,351
656,302,312,322,332,342,352
657,303,313,323,333,343,353
658,304,314,324,334,344,354
659,305,315,325,335,345,355
660,306,316,326,336,346,356
661,307,317,327,337,347,357
662,308,318,328,338,348,358
663,309,319,329,339,349,359
664,310,320,330,340,350,360
665,311,321,331,341,351,361
666,312,322,332,342,352,362
667,313,323,333,343,353,363
668,314,324,334,344,354,364
669,315,325,335,345,355,365
670,316,326,336,346,356,366
671,317,327,337,347,357,367
672,318,328,338,348,358,368
673,319,329,339,349,359,369
674,320,330,340,350,360,370
675,321,331,341,351,361,371
676,322,332,342,352,362,372
677,323,333,343,353,363,373
678,324,334,344,354,364,374
679,325,335,345,355,365,375
680,326,336,346,356,366,376
681,327,337,347,357,367,377
682,328,338,348,358,368,378
683,329,339,349,359,369,379
684,330,340,350,360,370,380
685,331,341,351,361,371,381
686,332,342,352,362,372,382
687,333,343,353,363,373,383
688,334,344,354,364,374,384
689,335,345,355,365,375,385
690,336,346,356,366,376,386
691,337,347,357,367,377,387
692,338,348,358,368,378,388
693,339,349,359,369,379,389
694,340,350,360,370,380,390
695,341,351,361,371,381,391
696,342,352,362,372,382,392
697,343,353,363,373,383,393
698,344,354,364,374,384,394
699,345,355,365,375,385,395
700,346,356,366,376,386,396
701,347,357,367,377,387,397
702,348,358,368,378,388,398
703,349,359,369,379,389,399
704,350,360,370,380,390,400
705,351,361,371,381,391,401
706,352,362,372,382,392,402
707,353,363,373,383,393,403
708,354,364,374,384,394,404
709,355,365,375,385,395,405
710,356,366,376,386,396,406
711,357,367,377,387,397,407
712,358,368,378,388,398,408
713,359,369,379,389,399,409
714,360,370,380,390,400,410
715,361,371,381,391,401,411
716,362,372,382,392,402,412
717,363,373,383,393,403,413
718,364,374,384,394,404,414
719,365,375,385,395,405,415
720,366,376,386,396,406,416
721,367,377,387,397,407,417
722,368,378,388,398,408,418
723,369,379,389,399,409,419
724,370,380,390,400,410,420
725,371,381,391,401,411,421
726,372,382,392,402,412,422
727,373,383,393,403,413,423
728,374,384,394,404,414,424
729,375,385,395,405,415,425
730,376,386,396,406,416,426
731,377,387,397,407,417,427
732,378,388,398,408,418,428
733,379,389,399,409,419,429
734,380,390,400,410,420,430
735,381,391,401,411,421,431
736,382,392,402,412,422,432
737,383,393,403,413,423,433
738,384,394,404,414,424,434
739,385,395,405,415,425,435
740,386,396,406,416,426,436
741,387,397,407,417,427,437
742,388,398,408,418,428,438
743,389,399,409,419,429,439
744,390,400,410,420,430,440
745,391,401,411,421,431,441
746,392,402,412,422,432,442
747,393,403,413,423,433,443
748,394,404,414,424,434,444
749,395,405,415,425,435,445
750,396,406,416,426,436,446
751,397,407,417,427,437,447
752,398,408,418,428,438,448
753,399,409,419,429,439,449
754,400,410,420,430,440,450
755,401,411,421,431,441,451
756,402,412,422,432,442,452
757,403,413,423,433,443,453
758,404,414,424,434,444,454
759,405,415,425,435,445,455
760,406,416,426,436,446,456
761,407,417,427,437,447,457
762,408,418,428,438,448,458
763,409,419,429,439,449,459
764,410,420,430,440,450,460
765,411,421,431,441,451,461
766,412,422,432,442,452,462
767,413,423,433,443,453,463
768,414,424,434,444,454,464
769,415,425,435,445,455,465
770,416,426,436,446,456,466
771,417,427,437,447,457,467
772,418,428,438,448,458,468
773,419,429,439,449,459,469
774,420,430,440,450,460,470
775,421,431,441,451,461,471
776,422,432,442,452,462,472
777,423,433,443,453,463,473
778,424,434,444,454,464,474
779,425,435,445,455,465,475
780,426,436,446,456,466,476
781,427,437,447,457,467,477
782,428,438,448,458,468,478
783,429,439,449,459,469,479
784,430,440,450,460,470,480
785,431,441,451,461,471,481
786,432,442,452,462,472,482
787,433,443,453,463,473,483
788,434,444,454,464,474,484
789,435,445,455,465,475,485
790,436,446,456,466,476,486
791,437,447,457,467,477,487
792,438,448,458,468,478,488
793,439,449,459,469,479,489
794,440,450,460,470,480,490
795,441,451,461,471,481,491
796,442,452,462,472,482,492
797,443,453,463,473,483,493
798,444,454,464,474,484,494
799,445,455,465,475,485,495
800,446,456,466,476,486,496
801,447,457,467,477,487,497
802,448,458,468,478,488,498
803,449,459,469,479,489,499
804,450,460,470,480,490,500
805,451,461,471,481,491,501
806,452,462,472,482,492,502
807,453,463,473,483,493,503
808,454,464,474,484,494,504
809,455,465,475,485,495,505
810,456,466,476,486,496,506
811,457,467,477,487,497,507
812,458,468,478,488,498,508
813,459,469,479,489,499,509
814,460,470,480,490,500,510
815,461,471,481,491,501,511
816,462,472,482,492,502,512
817,463,473,483,493,503,513
818,464,474,484,494,504,514
819,465,475,485,495,505,515
820,466,476,486,496,506,516
821,467,477,487,497,507,517
822,468,478,488,498,508,518
823,469,479,489,499,509,519
824,470,480,490,500,510,520
825,471,481,491,501,511,521
826,472,482,492,502,512,522
827,473,483,493,503,513,523
828,474,484,494,504,514,524
829,475,485,495,505,515,525
830,476,486,496,506,516,526
831,477,487,497,507,517,527
832,478,488,498,508,518,528
833,479,489,499,509,519,529
834,480,490,500,510,520,530
835,481,491,501,511,521,531
836,482,492,502,512,522,532
837,483,493,503,513,523,533
838,484,494,504,514,524,534
839,485,495,505,515,525,535
840,486,496,506,516,526,536
841,487,497,507,517,527,537
842,488,498,508,518,528,538
843,489,499,509,519,529,539
844,490,500,510,520,530,540
845,491,501,511,521,531,541
846,492,502,512,522,532,542
847,493,503,513,523,533,543
848,494,504,514,524,534,544
849,495,505,515,525,535,545
850,496,506,516,526,536,546
851,497,507,517,527,537,547
852,498,508,518,528,538,548
853,499,509,519,529,539,549
854,500,510,520,530,540,550
855,501,511,521,531,541,551
856,502,512,522,532,542,552
857,503,513,523,533,543,553
858,504,514,524,534,544,554
859,505,515,525,535,545,555
860,506,516,526,536,546,556
861,507,517,527,537,547,557
862,508,518,528,538,548,558
863,509,519,529,539,549,559
864,510,520,530,540,550,560
865,511,521,531,541,551,561
866,512,522,532,542,552,562
867,513,523,533,543,553,563
868,514,524,534,544,554,564
869,515,525,535,545,555,565
870,516,526,536,546,556,566
871,517,527,537,547,557,567
872,518,528,538,548,558,568
873,519,529,539,549,559,569
874,520,530,540,550,560,570
875,521,531,541,551,561,571
876,522,532,542,552,562,572
877,523,533,543,553,563,573
878,524,534,544,554,564,574
879,525,535,545,555,565,575
880,526,536,546,556,566,576
881,527,537,547,557,567,577
882,528,538,548,558,568,578
883,529,539,549,559,569,579
884,530,540,550,560,570,580
885,531,541,551,561,571,581
886,532,542,552,562,572,582
887,533,543,553,563,573,583
888,534,544,554,564,574,584
889,535,545,555,565,575,585
890,536,546,556,566,576,586
891,537,547,557,567,577,587
892,538,548,558,568,578,588
893,539,549,559,569,579,589
894,540,550,560,570,580,590
895,541,551,561,571,581,591
896,542,552,562,572,582,592
897,543,553,563,573,583,593
898,544,554,564,574,584,594
899,545,555,565,575,585,595
900,546,556,566,576,586,596
901,547,557,567,577,587,597
902,548,558,568,578,588,598
903,549,559,569,579,589,599
904,550,560,570,580,590,600
905,551,561,571,581,591,601
906,552,562,572,582,592,602
907,553,563,573,583,593,603
908,554,564,574,584,594,604
909,555,565,575,585,595,605
910,556,566,576,586,596,606
911,557,567,577,587,597,607
912,558,568,578,588,598,608
913,559,569,579,589,599,609
914,560,570,580,590,600,610
915,561,571,581,591,601,611
916,562,572,582,592,602,612
917,563,573,583,593,603,613
918,564,574,584,594,604,614
919,565,575,585,595,605,615
920,566,576,586,596,606,616
921,567,577,587,597,607,617
922,568,578,588,598,608,618
923,569,579,589,599,609,619
924,570,580,590,600,610,620
925,571,581,591,601,611,621
926,572,582,592,602,612,622
927,573,583,593,603,613,623
928,574,584,594,604,614,624
929,575,585,595,605,615,625
930,576,586,596,606,616,626
931,577,587,597,607,617,627
932,578,588,598,608,618,628
933,579,589,599,609,619,629
934,580,590,600,610,620,630
935,581,591,601,611,621,631
936,582,592,602,612,622,632
937,583,593,603,613,623,633
938,584,594,604,614,624,634
939,585,595,605,615,625,635
940,586,596,606,616,626,636
941,587,597,607,617,627,637
942,588,598,608,618,628,638
943,589,599,609,619,629,639
944,590,600,610,620,630,640
945,591,601,611,621,631,641
946,592,602,612,622,632,642
947,593,603,613,623,633,643
948,594,604,614,624,634,644
949,595,605,615,625,635,645
950,596,606,616,626,636,646
951,597,607,617,627,637,647
952,598,608,618,628,638,648
953,599,609,619,629,639,649
954,600,610,620,630,640,650
955,601,611,621,631,641,651
956,602,612,622,632,642,652
957,603,613,623,633,643,653
958,604,614,624,634,644,654
959,605,615,625,635,645,655
960,606,616,626,636,646,656
961,607,617,627,637,647,657
962,608,618,628,638,648,658
963,609,619,629,639,649,659
964,610,620,630,640,650,660
965,611,621,631,641,651,661
966,612,622,632,642,652,662
967,613,623,633,643,653,663
968,614,624,634,644,654,664
969,615,625,635,645,655,665
970,616,626,636,646,656,666
971,617,627,637,647,657,667
972,618,628,638,648,658,668
973,619,629,639,649,659,669
974,620,630,640,650,660,670
975,621,631,641,651,661,671
976,622,632,642,652,662,672
977,623,633,643,653,663,673
978,624,634,644,654,664,674
979,625,635,645,655,665,675
980,626,636,646,656,666,676
981,627,637,647,657,667,677
982,628,638,648,658,668,678
983,629,639,649,659,669,679
984,630,640,650,660,670,680
985,631,641,651,661,671,681
986,632,642,652,662,672,682
987,633,643,653,663,673,683
988,634,644,654,664,674,684
989,635,645,655,665,675,685
990,636,646,656,666,676,686
991,637,647,657,667,677,687
992,638,648,658,668,678,688
993,639,649,659,669,679,689
994,640,650,660,670,680,690
