Freq.	V(v2)
1.99526231496888e+001	(-3.70497727910347e-005dB,-1.60850363814141e-001°)
2.51188643150959e+001	(-4.49225950574082e-005dB,-2.02498557436062e-001°)
3.16227766016839e+001	(-5.74001635845523e-005dB,-2.54930473927672e-001°)
3.98107170553498e+001	(-7.71757420801011e-005dB,-3.20938240609848e-001°)
5.01187233627273e+001	(-1.08517834154354e-004dB,-4.04036885205653e-001°)
6.30957344480195e+001	(-1.58191482274898e-004dB,-5.08651461059751e-001°)
7.94328234724284e+001	(-2.36918355850261e-004dB,-6.40352572017117e-001°)
1.00000000000000e+002	(-3.61690652301252e-004dB,-8.06152777299547e-001°)
1.25892541179417e+002	(-5.59437925351600e-004dB,-1.01487953689061e+000°)
1.58489319246112e+002	(-8.72837465552850e-004dB,-1.27764431050794e+000°)
1.99526231496889e+002	(-1.36952024401975e-003dB,-1.60843229747653e+000°)
2.51188643150959e+002	(-2.15665409448940e-003dB,-2.02484323829689e+000°)
3.16227766016839e+002	(-3.40403828286419e-003dB,-2.54902076449949e+000°)
3.98107170553498e+002	(-5.38066020556163e-003dB,-3.20881587466400e+000°)
5.01187233627274e+002	(-8.51251911077244e-003dB,-4.03923870316476e+000°)
6.30957344480195e+002	(-1.34739827862432e-002dB,-5.08426039378091e+000°)
7.94328234724284e+002	(-2.13318573125772e-002dB,-6.39903026214009e+000°)
1.00000000000000e+003	(-3.37719191727743e-002dB,-8.05256540443775e+000°)
1.25892541179417e+003	(-5.34534454815768e-002dB,-1.01309359643370e+001°)
1.58489319246112e+003	(-8.45599245407608e-002dB,-1.27408809699465e+001°)
1.99526231496889e+003	(-1.33644252540420e-001dB,-1.60135937485364e+001°)
2.51188643150959e+003	(-2.10900721489366e-001dB,-2.01080189470813e+001°)
3.16227766016839e+003	(-3.32018300884379e-001dB,-2.52122588557565e+001°)
3.98107170553499e+003	(-5.20735759547483e-001dB,-3.15404191491865e+001°)
5.01187233627274e+003	(-8.12028570829663e-001dB,-3.93203864575230e+001°)
6.30957344480195e+003	(-1.25533252663826e+000dB,-4.87662153689413e+001°)
7.94328234724284e+003	(-1.91616511576983e+000dB,-6.00293282275136e+001°)
1.00000000000000e+004	(-2.87312088182665e+000dB,-7.31306515251771e+001°)
1.25892541179417e+004	(-4.20680723494993e+000dB,-8.78961999866349e+001°)
1.58489319246112e+004	(-5.98046076641837e+000dB,-1.03944323156059e+002°)
1.99526231496889e+004	(-8.21945068719237e+000dB,-1.20771926439919e+002°)
2.51188643150959e+004	(-1.09021722511472e+001dB,-1.37931097234376e+002°)
3.16227766016839e+004	(-1.39688608151026e+001dB,-1.55218921966525e+002°)
3.98107170553499e+004	(-1.73413134013342e+001dB,-1.72811244686714e+002°)
5.01187233627274e+004	(-2.09398237385369e+001dB,1.68633821560290e+002°)
6.30957344480196e+004	(-2.46877571600430e+001dB,1.47749437516885e+002°)
7.94328234724285e+004	(-2.85031029308541e+001dB,1.21735154136847e+002°)
1.00000000000000e+005	(-3.23227806249912e+001dB,8.41402941007555e+001°)
Step Information: X=20  (Run: 2/5)
1.00000000000000e-002	(-2.35898005357794e-005dB,-8.78162619917119e-005°)
1.25892541179417e-002	(-2.35898025685873e-005dB,-1.10554123790134e-004°)
1.58489319246111e-002	(-2.35898057952357e-005dB,-1.39179395818024e-004°)
1.99526231496888e-002	(-2.35898109003992e-005dB,-1.75216478193443e-004°)
2.51188643150958e-002	(-2.35898190046292e-005dB,-2.20584476962750e-004°)
3.16227766016838e-002	(-2.35898318417913e-005dB,-2.77699403495625e-004°)
3.98107170553497e-002	(-2.35898521756555e-005dB,-3.49602835900512e-004°)
5.01187233627273e-002	(-2.35898844141746e-005dB,-4.40123894150038e-004°)
6.30957344480194e-002	(-2.35899355014895e-005dB,-5.54083154682445e-004°)
7.94328234724282e-002	(-2.35900164762868e-005dB,-6.97549363675124e-004°)
1.00000000000000e-001	(-2.35901448151206e-005dB,-8.78162619908105e-004°)
1.25892541179417e-001	(-2.35903482135509e-005dB,-1.10554123788335e-003°)
1.58489319246111e-001	(-2.35906705813839e-005dB,-1.39179395814435e-003°)
1.99526231496888e-001	(-2.35911814988926e-005dB,-1.75216478186282e-003°)
2.51188643150958e-001	(-2.35919912478299e-005dB,-2.20584476948463e-003°)
3.16227766016838e-001	(-2.35932746091667e-005dB,-2.77699403467119e-003°)
3.98107170553498e-001	(-2.35953085992568e-005dB,-3.49602835843636e-003°)
5.01187233627273e-001	(-2.35985322669814e-005dB,-4.40123894036554e-003°)
6.30957344480194e-001	(-2.36036414353238e-005dB,-5.54083154456015e-003°)
7.94328234724282e-001	(-2.36117389102472e-005dB,-6.97549363223337e-003°)
1.00000000000000e+000	(-2.36245725477615e-005dB,-8.78162619006671e-003°)
1.25892541179417e+000	(-2.36449124921518e-005dB,-1.10554123608475e-002°)
1.58489319246112e+000	(-2.36771491426346e-005dB,-1.39179395455568e-002°)
1.99526231496888e+000	(-2.37282407813326e-005dB,-1.75216477470248e-002°)
2.51188643150958e+000	(-2.38092155667838e-005dB,-2.20584475519786e-002°)
3.16227766016838e+000	(-2.39375519669129e-005dB,-2.77699400616534e-002°)
3.98107170553498e+000	(-2.41409514328253e-005dB,-3.49602830155970e-002°)
5.01187233627273e+000	(-2.44633178650131e-005dB,-4.40123882688170e-002°)
6.30957344480194e+000	(-2.49742341912198e-005dB,-5.54083131813012e-002°)
7.94328234724283e+000	(-2.57839819644207e-005dB,-6.97549318044608e-002°)
1.00000000000000e+001	(-2.70673455433890e-005dB,-8.78162528863262e-002°)
1.25892541179417e+001	(-2.91013393879287e-005dB,-1.10554105622503e-001°)
1.58489319246112e+001	(-3.23250015163306e-005dB,-1.39179359568842e-001°)
1.99526231496888e+001	(-3.74341594753460e-005dB,-1.75216405866839e-001°)
2.51188643150959e+001	(-4.55316235978868e-005dB,-2.20584332652277e-001°)
3.16227766016839e+001	(-5.83652254443737e-005dB,-2.77699115558608e-001°)
3.98107170553498e+001	(-7.87050786406804e-005dB,-3.49602261391363e-001°)
5.01187233627273e+001	(-1.10941485652520e-004dB,-4.40122747855894e-001°)
6.30957344480195e+001	(-1.62032526941315e-004dB,-5.54080867532247e-001°)
7.94328234724284e+001	(-2.43005816056246e-004dB,-6.97544800233642e-001°)
1.00000000000000e+002	(-3.71338438089663e-004dB,-8.78153514718386e-001°)
1.25892541179417e+002	(-5.74728439083605e-004dB,-1.10552307087259e+000°)
1.58489319246112e+002	(-8.97071080765289e-004dB,-1.39175771092334e+000°)
1.99526231496889e+002	(-1.40792767051641e-003dB,-1.75209246146001e+000°)
2.51188643150959e+002	(-2.21752537414595e-003dB,-2.20570047861860e+000°)
3.16227766016839e+002	(-3.50051205945184e-003dB,-2.77670615965124e+000°)
3.98107170553498e+002	(-5.53355935677934e-003dB,-3.49545404531265e+000°)
5.01187233627274e+002	(-8.75484449696831e-003dB,-4.40009326596724e+000°)
6.30957344480195e+002	(-1.38580342998511e-002dB,-5.53854635345685e+000°)
7.94328234724284e+002	(-2.19405173326996e-002dB,-6.97093638237488e+000°)
1.00000000000000e+003	(-3.47365290655963e-002dB,-8.77254056207972e+000°)
1.25892541179417e+003	(-5.49821217618247e-002dB,-1.10373071201909e+001°)
1.58489319246112e+003	(-8.69823975668576e-002dB,-1.38818872117918e+001°)
1.99526231496889e+003	(-1.37482836926336e-001dB,-1.74499414048517e+001°)
2.51188643150959e+003	(-2.16982578454552e-001dB,-2.19160874592522e+001°)
3.16227766016839e+003	(-3.41652881179297e-001dB,-2.74881160812740e+001°)
3.98107170553499e+003	(-5.35995058373003e-001dB,-3.44048375934619e+001°)
5.01187233627274e+003	(-8.36189616080910e-001dB,-4.29250866263809e+001°)
6.30957344480195e+003	(-1.29357657933926e+000dB,-5.33015918777466e+001°)
7.94328234724284e+003	(-1.97668521940807e+000dB,-6.57339126331307e+001°)
1.00000000000000e+004	(-2.96888063109462e+000dB,-8.03024523727163e+001°)
1.25892541179417e+004	(-4.35832407208931e+000dB,-9.69056571375150e+001°)
1.58489319246112e+004	(-6.22013273189435e+000dB,-1.15247726131147e+002°)
1.99526231496889e+004	(-8.59805877461187e+000dB,-1.34922902388538e+002°)
2.51188643150959e+004	(-1.14982847537032e+001dB,-1.55586755169599e+002°)
3.16227766016839e+004	(-1.49020677514382e+001dB,-1.77136858017263e+002°)
3.98107170553499e+004	(-1.87907262922580e+001dB,1.60166295075493e+002°)
5.01187233627274e+004	(-2.31704845283864e+001dB,1.35615478225052e+002°)
6.30957344480196e+004	(-2.80885445542738e+001dB,1.07894979205540e+002°)
7.94328234724285e+004	(-3.36212921515486e+001dB,7.47060780789903e+001°)
1.00000000000000e+005	(-3.97121846053154e+001dB,3.23764271324911e+001°)
Step Information: X=1K  (Run: 3/5)
1.00000000000000e-002	(-2.36208512615930e-005dB,-7.93423806528620e-004°)
1.25892541179417e-002	(-2.36210534208599e-005dB,-9.98861392354396e-004°)
1.58489319246111e-002	(-2.36213738176033e-005dB,-1.25749198968120e-003°)
1.99526231496888e-002	(-2.36218816020053e-005dB,-1.58308862090963e-003°)
2.51188643150958e-002	(-2.36226864097182e-005dB,-1.99299049393016e-003°)
3.16227766016838e-002	(-2.36239619329846e-005dB,-2.50902637816284e-003°)
3.98107170553497e-002	(-2.36259834967243e-005dB,-3.15867706611151e-003°)
5.01187233627273e-002	(-2.36291874622322e-005dB,-3.97653882574113e-003°)
6.30957344480194e-002	(-2.36342653920837e-005dB,-5.00616577783752e-003°)
7.94328234724282e-002	(-2.36423133882230e-005dB,-6.30238931162985e-003°)
1.00000000000000e-001	(-2.36550685881370e-005dB,-7.93423805595080e-003°)
1.25892541179417e-001	(-2.36752842314139e-005dB,-9.98861390491739e-003°)
1.58489319246111e-001	(-2.37073238577982e-005dB,-1.25749198596471e-002°)
1.99526231496888e-001	(-2.37581032475503e-005dB,-1.58308861349425e-002°)
2.51188643150958e-001	(-2.38385831544950e-005dB,-1.99299047913454e-002°)
3.16227766016838e-001	(-2.39661352094344e-005dB,-2.50902634864171e-002°)
3.98107170553498e-001	(-2.41682915898428e-005dB,-3.15867700720910e-002°)
5.01187233627273e-001	(-2.44886878569389e-005dB,-3.97653870821538e-002°)
6.30957344480194e-001	(-2.49964816862076e-005dB,-5.00616554334282e-002°)
7.94328234724282e-001	(-2.58012806059762e-005dB,-6.30238884375144e-002°)
1.00000000000000e+000	(-2.70768008104189e-005dB,-7.93423712241072e-002°)
1.25892541179417e+000	(-2.90983637102656e-005dB,-9.98861204226029e-002°)
1.58489319246112e+000	(-3.23023240565364e-005dB,-1.25749161431584e-001°)
1.99526231496888e+000	(-3.73802566338960e-005dB,-1.58308787195753e-001°)
2.51188643150958e+000	(-4.54282314798554e-005dB,-1.99298899957507e-001°)
3.16227766016838e+000	(-5.81833971658814e-005dB,-2.50902339653501e-001°)
3.98107170553498e+000	(-7.83989350829557e-005dB,-3.15867111698999e-001°)
5.01187233627273e+000	(-1.10438309687147e-004dB,-3.97652695570886e-001°)
6.30957344480194e+000	(-1.61217060722000e-004dB,-5.00614209409075e-001°)
7.94328234724283e+000	(-2.41695365607593e-004dB,-6.30234205659957e-001°)
1.00000000000000e+001	(-3.69243396254240e-004dB,-7.93414377058274e-001°)
1.25892541179417e+001	(-5.71389666934872e-004dB,-9.98842578344664e-001°)
1.58489319246112e+001	(-8.91760534291361e-004dB,-1.25745445160958e+000°)
1.99526231496888e+001	(-1.39949057897012e-003dB,-1.58301372518070e+000°)
2.51188643150959e+001	(-2.20412929245915e-003dB,-1.99284106543322e+000°)
3.16227766016839e+001	(-3.47924709238493e-003dB,-2.50872825481458e+000°)
3.98107170553498e+001	(-5.49979941246477e-003dB,-3.15808231308012e+000°)
5.01187233627273e+001	(-8.70122204806972e-003dB,-3.97535239426058e+000°)
6.30957344480195e+001	(-1.37727832120248e-002dB,-5.00379934744495e+000°)
7.94328234724284e+001	(-2.18047657876849e-002dB,-6.29767022615780e+000°)
1.00000000000000e+002	(-3.45198083230425e-002dB,-7.92483033690603e+000°)
1.25892541179417e+002	(-5.46347504776339e-002dB,-9.96986856712252e+000°)
1.58489319246112e+002	(-8.64221888700098e-002dB,-1.25375983903364e+001°)
1.99526231496889e+002	(-1.36571063338899e-001dB,-1.57566725886263e+001°)
2.51188643150959e+002	(-2.15478825839354e-001dB,-1.97826197966751e+001°)
3.16227766016839e+002	(-3.39127279547074e-001dB,-2.47988507806377e+001°)
3.98107170553498e+002	(-5.31653856763943e-001dB,-3.10129078088755e+001°)
5.01187233627274e+002	(-8.28528521747799e-001dB,-3.86434324191134e+001°)
6.30957344480195e+002	(-1.27971283234928e+000dB,-4.78916753939662e+001°)
7.94328234724284e+002	(-1.95115848437015e+000dB,-5.88922412756125e+001°)
1.00000000000000e+003	(-2.92173738797313e+000dB,-7.16459351959380e+001°)
1.25892541179417e+003	(-4.27250678368643e+000dB,-8.59570870989173e+001°)
1.58489319246112e+003	(-6.06844416156796e+000dB,-1.01420363306574e+002°)
1.99526231496889e+003	(-8.33973311697418e+000dB,-1.17498168952231e+002°)
2.51188643150959e+003	(-1.10743217028353e+001dB,-1.33675918040045e+002°)
3.16227766016839e+003	(-1.42280556022381e+001dB,-1.49617035622804e+002°)
3.98107170553499e+003	(-1.77466855138396e+001dB,-1.65237256516513e+002°)
5.01187233627274e+003	(-2.15880990770378e+001dB,1.79319823406331e+002°)
6.30957344480195e+003	(-2.57369896728536e+001dB,1.63770370932806e+002°)
7.94328234724284e+003	(-3.02100373216801e+001dB,1.47798505058668e+002°)
1.00000000000000e+004	(-3.50514192701324e+001dB,1.31153622339911e+002°)
1.25892541179417e+004	(-4.03173468169652e+001dB,1.13697349671669e+002°)
1.58489319246112e+004	(-4.60485641526356e+001dB,9.53291737647031e+001°)
1.99526231496889e+004	(-5.22300357289916e+001dB,7.57064255376383e+001°)
2.51188643150959e+004	(-5.87194778450011e+001dB,5.37755815533558e+001°)
3.16227766016839e+004	(-6.50764074323141e+001dB,2.77027979504149e+001°)
3.98107170553499e+004	(-7.03855549311618e+001dB,-2.52922540039759e+000°)
5.01187233627274e+004	(-7.39806812505597e+001dB,-3.10022258404025e+001°)
6.30957344480196e+004	(-7.64058386648540e+001dB,-5.21661192225666e+001°)
7.94328234724285e+004	(-7.84204637069111e+001dB,-6.67260489604520e+001°)
1.00000000000000e+005	(-8.03389747103767e+001dB,-7.73607367307171e+001°)
Step Information: X=10K  (Run: 4/5)
1.00000000000000e-002	(-2.39368117471097e-005dB,-7.27349290873632e-003°)
1.25892541179417e-002	(-2.39568669101156e-005dB,-9.15678504833962e-003°)
1.58489319246111e-002	(-2.39886522031815e-005dB,-1.15277093737783e-002°)
1.99526231496888e-002	(-2.40390284978314e-005dB,-1.45125262426664e-002°)
2.51188643150958e-002	(-2.41188695396228e-005dB,-1.82701880208324e-002°)
3.16227766016838e-002	(-2.42454090693698e-005dB,-2.30008038671654e-002°)
3.98107170553497e-002	(-2.44459606989950e-005dB,-2.89562962595558e-002°)
5.01187233627273e-002	(-2.47638135978193e-005dB,-3.64538167526156e-002°)
6.30957344480194e-002	(-2.52675764693461e-005dB,-4.58926353888810e-002°)
7.94328234724282e-002	(-2.60659867651303e-005dB,-5.77754031536765e-002°)
1.00000000000000e-001	(-2.73313816442555e-005dB,-7.27349197119350e-002°)
1.25892541179417e-001	(-2.93368970099023e-005dB,-9.15678317769602e-002°)
1.58489319246111e-001	(-3.25154237143975e-005dB,-1.15277056413544e-001°)
1.99526231496888e-001	(-3.75530466605153e-005dB,-1.45125187955044e-001°)
2.51188643150958e-001	(-4.55371349964396e-005dB,-1.82701731617988e-001°)
3.16227766016838e-001	(-5.81910472278859e-005dB,-2.30007742195218e-001°)
3.98107170553498e-001	(-7.82461088662158e-005dB,-2.89562371048126e-001°)
5.01187233627273e-001	(-1.10031144750582e-004dB,-3.64536987236472e-001°)
6.30957344480194e-001	(-1.60406793707931e-004dB,-4.58923998909549e-001°)
7.94328234724282e-001	(-2.40246218886180e-004dB,-5.77749332761535e-001°)
1.00000000000000e+000	(-3.66781678449198e-004dB,-7.27339821912879e-001°)
1.25892541179417e+000	(-5.67323094450296e-004dB,-9.15659612034858e-001°)
1.58489319246112e+000	(-8.85150343972253e-004dB,-1.15273324211449e+000°)
1.99526231496888e+000	(-1.38884878856502e-003dB,-1.45117741494247e+000°)
2.51188643150958e+000	(-2.18709725007991e-003dB,-1.82686874801896e+000°)
3.16227766016838e+000	(-3.45208568577127e-003dB,-2.29978101563180e+000°)
3.98107170553498e+000	(-5.45658028703354e-003dB,-2.89503238473569e+000°)
5.01187233627273e+000	(-8.63254372434297e-003dB,-3.64419028353051e+000°)
6.30957344480194e+000	(-1.36637311395684e-002dB,-4.58688722519405e+000°)
7.94328234724283e+000	(-2.16316664408878e-002dB,-5.77280155334189e+000°)
1.00000000000000e+001	(-3.42450529210391e-002dB,-7.26404512847320e+000°)
1.25892541179417e+001	(-5.41985122750282e-002dB,-9.13796020625175e+000°)
1.58489319246112e+001	(-8.57291025343856e-002dB,-1.14902306152368e+001°)
1.99526231496888e+001	(-1.35468645467507e-001dB,-1.44380030504950e+001°)
2.51188643150959e+001	(-2.13722168126433e-001dB,-1.81222981569023e+001°)
3.16227766016839e+001	(-3.36320572078821e-001dB,-2.27082238758730e+001°)
3.98107170553498e+001	(-5.27152308034623e-001dB,-2.83802236187749e+001°)
5.01187233627273e+001	(-8.21272483352616e-001dB,-3.53277972454286e+001°)
6.30957344480195e+001	(-1.26794835993412e+000dB,-4.37155076216884e+001°)
7.94328234724284e+001	(-1.93197838488667e+000dB,-5.36320136501111e+001°)
1.00000000000000e+002	(-2.89036528001066e+000dB,-6.50210981664082e+001°)
1.25892541179417e+002	(-4.22125151114976e+000dB,-7.76170579012117e+001°)
1.58489319246112e+002	(-5.98523157504170e+000dB,-9.09290870859614e+001°)
1.99526231496889e+002	(-8.20597023391010e+000dB,-1.04315258192990e+002°)
2.51188643150959e+002	(-1.08615468172695e+001dB,-1.17133969934096e+002°)
3.16227766016839e+002	(-1.38925915169389e+001dB,-1.28897184227325e+002°)
3.98107170553498e+002	(-1.72215297612454e+001dB,-1.39348336739986e+002°)
5.01187233627274e+002	(-2.07715217863446e+001dB,-1.48450301583144e+002°)
6.30957344480195e+002	(-2.44779283672744e+001dB,-1.56323022025525e+002°)
7.94328234724284e+002	(-2.82920133437726e+001dB,-1.63176036419461e+002°)
1.00000000000000e+003	(-3.21799621850494e+001dB,-1.69259222772699e+002°)
1.25892541179417e+003	(-3.61202189306830e+001dB,-1.74835358313031e+002°)
1.58489319246112e+003	(-4.01009174653218e+001dB,1.79830451001587e+002°)
1.99526231496889e+003	(-4.41181741109250e+001dB,1.74470438514200e+002°)
2.51188643150959e+003	(-4.81754854219441e+001dB,1.68807184243656e+002°)
3.16227766016839e+003	(-5.22842722923685e+001dB,1.62542077570756e+002°)
3.98107170553499e+003	(-5.64654884421391e+001dB,1.55339206283126e+002°)
5.01187233627274e+003	(-6.07518666227827e+001dB,1.46801531968698e+002°)
6.30957344480195e+003	(-6.51892042923080e+001dB,1.36429599019540e+002°)
7.94328234724284e+003	(-6.98314349879105e+001dB,1.23538632261702e+002°)
1.00000000000000e+004	(-7.47130677752080e+001dB,1.07092417491704e+002°)
1.25892541179417e+004	(-7.97518982761397e+001dB,8.54979772674313e+001°)
1.58489319246112e+004	(-8.45114579263644e+001dB,5.71874679482744e+001°)
1.99526231496889e+004	(-8.81329718638038e+001dB,2.42769769997496e+001°)
2.51188643150959e+004	(-9.03504991298333e+001dB,-5.59271112549081e+000°)
3.16227766016839e+004	(-9.19075688467300e+001dB,-2.80570192601875e+001°)
3.98107170553499e+004	(-9.33993069459450e+001dB,-4.42867054769490e+001°)
5.01187233627274e+004	(-9.50014650162220e+001dB,-5.64031090298950e+001°)
6.30957344480196e+004	(-9.67202181308003e+001dB,-6.59156886527100e+001°)
7.94328234724285e+004	(-9.85230167744942e+001dB,-7.38222903150180e+001°)
1.00000000000000e+005	(-1.00374304993817e+002dB,-8.08672480973038e+001°)
Step Information: X=200K  (Run: 5/5)
1.00000000000000e-002	(-4.35727254370401e-005dB,-1.44074802482178e-001°)
1.25892541179417e-002	(-5.15954035405857e-005dB,-1.81379374228917e-001°)
1.58489319246111e-002	(-6.43104762750367e-005dB,-2.28342992026459e-001°)
1.99526231496888e-002	(-8.44624703694376e-005dB,-2.87466573064045e-001°)
2.51188643150958e-002	(-1.16401132855385e-004dB,-3.61898530519679e-001°)
3.16227766016838e-002	(-1.67020261033681e-004dB,-4.55602371963634e-001°)
3.98107170553497e-002	(-2.47245568430933e-004dB,-5.73567638748507e-001°)
5.01187233627273e-002	(-3.74392594155080e-004dB,-7.22075354235264e-001°)
6.30957344480194e-002	(-5.75903237230365e-004dB,-9.09031986384634e-001°)
7.94328234724282e-002	(-8.95266507675884e-004dB,-1.14438944900130e+000°)
1.00000000000000e-001	(-1.40139912905758e-003dB,-1.44067298876438e+000°)
1.25892541179417e-001	(-2.20350486717033e-003dB,-1.81364403405011e+000°)
1.58489319246111e-001	(-3.47460508313589e-003dB,-2.28313123954767e+000°)
1.99526231496888e-001	(-5.48878220859994e-003dB,-2.87406986801013e+000°)
2.51188643150958e-001	(-8.68008138620143e-003dB,-3.61779666766786e+000°)
3.16227766016838e-001	(-1.37355491582462e-002dB,-4.55365291252624e+000°)
3.98107170553498e-001	(-2.17419031745348e-002dB,-5.73094864798856e+000°)
5.01187233627273e-001	(-3.44160213201219e-002dB,-7.21132880428676e+000°)
6.30957344480194e-001	(-5.44653392374373e-002dB,-9.07154134916162e+000°)
7.94328234724282e-001	(-8.61468715761922e-002dB,-1.14065092734016e+001°)
1.00000000000000e+000	(-1.36123201695106e-001dB,-1.43323968005762e+001°)
1.25892541179417e+000	(-2.14745997065754e-001dB,-1.79889405696006e+001°)
1.58489319246112e+000	(-3.37915020975597e-001dB,-2.25395440065802e+001°)
1.99526231496888e+000	(-5.29616086736797e-001dB,-2.81663465967775e+001°)
2.51188643150958e+000	(-8.25032357275100e-001dB,-3.50556815619123e+001°)
3.16227766016838e+000	(-1.27357931414716e+000dB,-4.33677224900285e+001°)
3.98107170553498e+000	(-1.94018742756016e+000dB,-5.31850997278852e+001°)
5.01187233627273e+000	(-2.90190398473828e+000dB,-6.44436004337277e+001°)
6.30957344480194e+000	(-4.23673927269082e+000dB,-7.68675520754104e+001°)
7.94328234724283e+000	(-6.00493160049500e+000dB,-8.99546092997276e+001°)
1.00000000000000e+001	(-8.22962647533871e+000dB,-1.03050151678676e+002°)
1.25892541179417e+001	(-1.08883718980462e+001dB,-1.15498410678777e+002°)
1.58489319246112e+001	(-1.39213770843603e+001dB,-1.26794317551551e+002°)
1.99526231496888e+001	(-1.72507523250012e+001dB,-1.36659426358305e+002°)
2.51188643150959e+001	(-2.07993270161926e+001dB,-1.45027920691883e+002°)
3.16227766016839e+001	(-2.45019387574264e+001dB,-1.51982453899879e+002°)
3.98107170553498e+001	(-2.83089329323503e+001dB,-1.57684777608776e+002°)
5.01187233627273e+001	(-3.21849286608533e+001dB,-1.62324141556340e+002°)
6.30957344480195e+001	(-3.61057960157651e+001dB,-1.66086803914788e+002°)
7.94328234724284e+001	(-4.00555403405286e+001dB,-1.69141501460655e+002°)
1.00000000000000e+002	(-4.40237559051039e+001dB,-1.71634678327237e+002°)
1.25892541179417e+002	(-4.80037604455222e+001dB,-1.73690873280482e+002°)
1.58489319246112e+002	(-5.19913095857277e+001dB,-1.75415475423551e+002°)
1.99526231496889e+002	(-5.59837444673384e+001dB,-1.76898363529208e+002°)
2.51188643150959e+002	(-5.99794435568035e+001dB,-1.78217739779433e+002°)
3.16227766016839e+002	(-6.39774829149346e+001dB,-1.79443920448366e+002°)
3.98107170553498e+002	(-6.79774407376751e+001dB,1.79356890137272e+002°)
5.01187233627274e+002	(-7.19793074966996e+001dB,1.78118623558819e+002°)
6.30957344480195e+002	(-7.59834831672705e+001dB,1.76770732717450e+002°)
7.94328234724284e+002	(-7.99908595588135e+001dB,1.75232148129720e+002°)
1.00000000000000e+003	(-8.40029989609739e+001dB,1.73402347109292e+002°)
1.25892541179417e+003	(-8.80224234622576e+001dB,1.71146768535112e+002°)
1.58489319246112e+003	(-9.20529876434638e+001dB,1.68271217717360e+002°)
1.99526231496889e+003	(-9.61000754420567e+001dB,1.64474827855260e+002°)
2.51188643150959e+003	(-1.00169361232738e+002dB,1.59261601799596e+002°)
3.16227766016839e+003	(-1.04258887470610e+002dB,1.51776056927911e+002°)
3.98107170553499e+003	(-1.08324640898806e+002dB,1.40533739659120e+002°)
5.01187233627274e+003	(-1.12160658562530e+002dB,1.23250231379407e+002°)
6.30957344480195e+003	(-1.15160257605929e+002dB,9.82205973644022e+001°)
7.94328234724284e+003	(-1.16554060191837e+002dB,6.89268064896188e+001°)
1.00000000000000e+004	(-1.16599333755874e+002dB,4.25425242538913e+001°)
1.25892541179417e+004	(-1.16263424022357e+002dB,2.10965414701822e+001°)
1.58489319246112e+004	(-1.16131196412822e+002dB,3.06882584695642e+000°)
1.99526231496889e+004	(-1.16398400366105e+002dB,-1.27642523322190e+001°)
